"","x"
"1294","D"
"1295","D"
"1296","D"
"1297","D"
"1298","D"
"1299","W"
"1300","W"
"1301","W"
"1302","W"
"1303","W"
"1304","W"
"1305","L"
"1306","L"
"1307","L"
"1308","L"
"1309","L"
"1310","W"
"1311","W"
"1312","W"
"1313","D"
"1314","W"
"1315","W"
"1316","W"
"1317","L"
"1318","D"
"1319","D"
"1320","W"
"1321","D"
"1322","L"
"1323","L"
"1324","W"
"1325","D"
"1326","W"
"1327","L"
"1328","D"
"1329","W"
"1330","D"
"1331","D"
"1332","L"
"1333","L"
"1334","W"
"1335","W"
"1336","D"
"1337","L"
"1338","W"
"1339","W"
"1340","W"
"1341","W"
"1342","W"
"1343","D"
"1344","W"
"1345","W"
"1346","W"
"1347","D"
"1348","L"
"1349","L"
"1350","W"
"1351","D"
"1352","L"
"1353","L"
"1354","L"
"1355","L"
"1356","W"
"1357","W"
"1358","L"
"1359","D"
"1360","L"
"1361","D"
"1362","L"
"1363","W"
"1364","W"
"1365","W"
"1366","W"
"1367","L"
"1368","D"
"1369","L"
"1370","L"
"1371","W"
"1372","W"
"1373","W"
"1374","W"
"1375","D"
"1376","W"
"1377","L"
"1378","D"
"1379","L"
"1380","W"
"1381","L"
"1382","L"
"1383","W"
"1384","W"
"1385","L"
"1386","D"
"1387","W"
"1388","D"
"1389","L"
"1390","W"
"1391","L"
"1392","W"
"1393","D"
"1394","W"
"1395","W"
"1396","W"
"1397","L"
"1398","D"
"1399","L"
"1400","L"
"1401","W"
"1402","W"
"1403","D"
"1404","W"
"1405","W"
"1406","D"
"1407","L"
"1408","W"
"1409","D"
"1410","W"
"1411","W"
"1412","W"
"1413","D"
"1414","D"
"1415","W"
"1416","L"
"1417","W"
"1418","L"
"1419","W"
"1420","W"
"1421","D"
"1422","D"
"1423","W"
"1424","D"
"1425","D"
"1426","L"
"1427","W"
"1428","W"
"1429","W"
"1430","D"
"1431","W"
"1432","D"
"1433","L"
"1434","W"
"1435","W"
"1436","L"
"1437","W"
"1438","L"
"1439","D"
"1440","W"
"1441","D"
"1442","W"
"1443","D"
"1444","W"
"1445","L"
"1446","D"
"1447","D"
"1448","L"
"1449","W"
"1450","L"
"1451","W"
"1452","D"
"1453","D"
"1454","L"
"1455","W"
"1456","L"
"1457","W"
"1458","D"
"1459","D"
"1460","L"
"1461","W"
"1462","L"
"1463","L"
"1464","L"
"1465","D"
"1466","D"
"1467","D"
"1468","D"
"1469","W"
"1470","D"
"1471","W"
"1472","D"
"1473","W"
"1474","D"
"1475","D"
"1476","W"
"1477","L"
"1478","W"
"1479","W"
"1480","D"
"1481","D"
"1482","L"
"1483","L"
"1484","L"
"1485","W"
"1486","L"
"1487","W"
"1488","W"
"1489","L"
"1490","W"
"1491","W"
"1492","W"
"1493","W"
"1494","L"
"1495","L"
"1496","D"
"1497","W"
"1498","D"
"1499","L"
"1500","W"
"1501","L"
"1502","W"
"1503","W"
"1504","L"
"1505","W"
"1506","W"
"1507","L"
"1508","W"
"1509","L"
"1510","D"
"1511","L"
"1512","D"
"1513","W"
"1514","L"
"1515","L"
"1516","L"
"1517","W"
"1518","D"
"1519","W"
"1520","L"
"1521","L"
"1522","L"
"1523","L"
"1524","W"
"1525","D"
"1526","W"
"1527","L"
"1528","L"
"1529","W"
"1530","D"
"1531","D"
"1532","W"
"1533","W"
"1534","L"
"1535","L"
"1536","D"
"1537","L"
"1538","L"
"1539","L"
"1540","D"
"1541","L"
"1542","D"
"1543","W"
"1544","D"
"1545","L"
"1546","D"
"1547","L"
"1548","L"
"1549","W"
"1550","D"
"1551","D"
"1552","W"
"1553","D"
"1554","W"
"1555","D"
"1556","D"
"1557","W"
"1558","W"
"1559","D"
"1560","D"
"1561","L"
"1562","L"
"1563","W"
"1564","L"
"1565","L"
"1566","D"
"1567","D"
"1568","W"
"1569","W"
"1570","D"
"1571","L"
"1572","W"
"1573","W"
"1574","D"
"1575","W"
"1576","L"
"1577","W"
"1578","L"
"1579","D"
"1580","W"
"1581","L"
"1582","L"
"1583","W"
"1584","D"
"1585","W"
"1586","D"
"1587","D"
"1588","D"
"1589","L"
"1590","W"
"1591","W"
"1592","D"
"1593","W"
"1594","D"
"1595","W"
"1596","L"
"1597","D"
"1598","W"
"1599","W"
"1600","W"
"1601","L"
"1602","W"
"1603","L"
"1604","L"
"1605","W"
"1606","D"
"1607","L"
"1608","D"
"1609","L"
"1610","L"
"1611","D"
"1612","L"
"1613","D"
"1614","W"
"1615","D"
"1616","L"
"1617","D"
"1618","W"
"1619","D"
"1620","L"
"1621","D"
"1622","L"
"1623","L"
"1624","L"
"1625","W"
"1626","W"
"1627","L"
"1628","L"
"1629","D"
"1630","W"
"1631","W"
"1632","L"
"1633","W"
"1634","W"
"1635","W"
"1636","W"
"1637","W"
"1638","W"
"1639","W"
"1640","D"
"1641","W"
"1642","L"
"1643","D"
"1644","W"
"1645","L"
"1646","L"
"1647","D"
"1648","D"
"1649","L"
"1650","W"
"1651","D"
"1652","L"
"1653","W"
"1654","L"
"1655","L"
"1656","L"
"1657","D"
"1658","L"
"1659","L"
"1660","L"
"1661","W"
"1662","D"
"1663","L"
"1664","W"
"1665","L"
"1666","D"
"1667","L"
"1668","W"
"1669","L"
"1670","W"
"1671","L"
"1672","W"
"1673","L"
"1674","L"
"1675","W"
"1676","W"
"1677","L"
"1678","L"
"1679","L"
"1680","W"
"1681","D"
"1682","L"
"1683","L"
"1684","L"
"1685","D"
"1686","L"
"1687","L"
"1688","L"
"1689","D"
"1690","W"
"1691","W"
"1692","D"
"1693","W"
"1694","W"
"1695","L"
"1696","D"
"1697","D"
"1698","W"
"1699","W"
"1700","W"
"1701","W"
"1702","L"
"1703","W"
"1704","D"
"1705","L"
"1706","D"
"1707","W"
"1708","L"
"1709","L"
"1710","L"
"1711","L"
"1712","D"
"1713","W"
"1714","D"
"1715","L"
"1716","W"
"1717","W"
"1718","W"
"1719","L"
"1720","L"
"1721","W"
"1722","L"
"1723","L"
"1724","L"
"1725","W"
"1726","D"
"1727","W"
"1728","D"
"1729","L"
"1730","D"
"1731","L"
"1732","D"
"1733","L"
"1734","D"
"1735","L"
"1736","W"
"1737","W"
"1738","W"
"1739","L"
"1740","L"
"1741","W"
"1742","D"
"1743","D"
"1744","L"
"1745","L"
"1746","W"
"1747","D"
"1748","W"
"1749","D"
"1750","D"
"1751","D"
"1752","L"
"1753","D"
"1754","W"
"1755","L"
"1756","D"
"1757","D"
"1758","L"
"1759","D"
"1760","L"
"1761","W"
"1762","L"
"1763","D"
"1764","W"
"1765","L"
"1766","D"
"1767","L"
"1768","W"
"1769","L"
"1770","W"
"1771","D"
"1772","D"
"1773","L"
"1774","W"
"1775","L"
"1776","L"
"1777","L"
"1778","D"
"1779","W"
"1780","D"
"1781","D"
"1782","D"
"1783","W"
"1784","L"
"1785","W"
"1786","L"
"1787","W"
